,box_start,box_end,probability_prior,probability_1,posterior_probability,probability_2
200,14,13,0.16730038022813687,0.13333333333333333,0.16233766233766234,0.23076923076923078
201,14,14,0.20532319391634982,0.15555555555555556,0.19805194805194806,0.07692307692307693
202,14,15,0.1520912547528517,0.2,0.1590909090909091,0.3076923076923077
203,14,16,0.03802281368821293,0.022222222222222223,0.03571428571428571,0.0
204,14,17,0.17110266159695817,0.13333333333333333,0.16558441558441558,0.07692307692307693
205,14,18,0.08745247148288973,0.15555555555555556,0.09740259740259741,0.07692307692307693
206,14,19,0.034220532319391636,0.022222222222222223,0.032467532467532464,0.07692307692307693
207,14,20,0.034220532319391636,0.06666666666666667,0.03896103896103896,0.0
208,14,21,0.0038022813688212928,0.0,0.003246753246753247,0.0
209,14,23,0.0038022813688212928,0.0,0.003246753246753247,0.0
210,14,24,0.0076045627376425855,0.0,0.006493506493506494,0.0
211,15,6,0.01171875,0.0,0.010238907849829351,0.0
212,15,7,0.00390625,0.05405405405405406,0.010238907849829351,0.1
213,15,10,0.0625,0.0,0.05460750853242321,0.0
214,15,11,0.07421875,0.08108108108108109,0.07508532423208192,0.1
215,15,12,0.015625,0.0,0.013651877133105802,0.0
216,15,13,0.05859375,0.0,0.051194539249146756,0.0
217,15,14,0.17578125,0.1891891891891892,0.17747440273037543,0.1
218,15,15,0.21875,0.2972972972972973,0.22866894197952217,0.25
219,15,16,0.1328125,0.05405405405405406,0.12286689419795221,0.05
220,15,17,0.02734375,0.0,0.023890784982935155,0.0
221,15,18,0.01953125,0.05405405405405406,0.023890784982935155,0.1
222,15,19,0.0625,0.10810810810810811,0.06825938566552901,0.05
223,15,20,0.12890625,0.13513513513513514,0.1296928327645051,0.2
224,15,21,0.00390625,0.0,0.0034129692832764505,0.0
225,15,23,,0.02702702702702703,0.0034129692832764505,0.05
226,15,24,0.00390625,0.0,0.0034129692832764505,0.0
227,16,5,0.005434782608695652,0.0,0.0044444444444444444,0.0
228,16,6,0.016304347826086956,0.0,0.013333333333333334,0.0
229,16,7,0.005434782608695652,0.0,0.0044444444444444444,0.0
230,16,10,0.016304347826086956,0.04878048780487805,0.022222222222222223,0.0
231,16,11,0.10869565217391304,0.04878048780487805,0.09777777777777778,0.08333333333333333
232,16,12,0.125,0.07317073170731707,0.11555555555555555,0.16666666666666666
233,16,14,0.02717391304347826,0.04878048780487805,0.03111111111111111,0.0
